action,type,value,authentic_part,functional_substitute,board_positions,populate_now,leave_empty,refs,populated_refs,notes
circuit-review,AP2,,К170АП2,RS-232/line-driver substitute required; verify +/-12 V interface,2,2,0,"D14, D32","D14, D32",
circuit-review,C_ELEC,,radial electrolytic,modern radial electrolytic with matching value/voltage/polarity,3,3,0,"C31, C32, C33","C31, C32, C33",
circuit-review,C_KM,,КМ ceramic capacitor,modern ceramic capacitor with matching value/voltage/lead spacing,9,9,0,"C9, C10, C11, C12, C15, C16, C19, C34, C94","C9, C10, C11, C12, C15, C16, C19, C34, C94",
circuit-review,C_KM,"0,047","КМ ceramic capacitor 0,047",modern ceramic capacitor with matching value/voltage/lead spacing,4,4,0,"C38, C42, C46, C50","C38, C42, C46, C50","Factory placement/population is closed, but exact target capacitance, tolerance, and voltage remain unread; do not source the final part from the functional 0,047 model value."
circuit-review,C_KM,"0,047","КМ ceramic capacitor 0,047",modern ceramic capacitor with matching value/voltage/lead spacing,6,0,6,"C51, C52, C53, C70, C71, C72",,"Target placement, population, capacitance, tolerance, and voltage remain unresolved; do not fabricate or source this position from the retired fit-to-space coordinate or functional 0,047 model value."
circuit-review,C_KM,"1,5 нФ","КМ ceramic capacitor 1,5 нФ",modern ceramic capacitor with matching value/voltage/lead spacing,2,2,0,"C20, C22","C20, C22","Capacitance is source-closed, but tolerance and voltage rating remain unread; do not source the final part from value alone."
circuit-review,Q_KT13,,КТ315,modern E-C-B transistor selected for the video role and KT-13 pad row,1,1,0,VT2,VT2,
circuit-review,Q_KT27,,КТ972,modern E-C-B TO-126 transistor selected for the beeper role,1,1,0,VT1,VT1,
circuit-review,UP2,,К170УП2,RS-232/line-receiver substitute required; verify +/-12 V interface,1,1,0,D104,D104,
leave-empty,C_KM,"0,047","КМ ceramic capacitor 0,047",modern ceramic capacitor with matching value/voltage/lead spacing,28,0,28,"C35, C36, C37, C39, C40, C41, C43, C44, C45, C47, C48, C49, C54, C55, C56, C57, C58, C59, ... (+10)",,"Target-assembly DNP; retain schematic intent and the fabricated footprint, but do not fit the part."
leave-empty,EPROM8K,,К573РФ6,"2764 / 27C64 / M2764 EPROM, programmed per ROM split",1,0,1,D19,,Only D15/D16 are populated in the .009 functional build; D17-D22 are expansion/empty sockets.
leave-empty,RU5,,К565РУ5Г / 565РУ5Г,"4164-family 64Kx1 DRAM candidate; verify pinout, refresh, speed, and rails",24,0,24,"D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D70, D71, D72, D73, D74, D75, D76, D77, ... (+6)",,D84-D91 are populated for the 64 KB .158/.009 target; D60-D83 are empty expansion sockets. Compatibility remains a procurement-time electrical check.
mechanical-review,EXPANSION_CONN,,СНП59-96 Р-20-2-В,select exact substitute after circuit review,1,1,0,X1,X1,
mechanical-review,JUMPER2,,wire/link,select exact substitute after circuit review,1,1,0,E5,E5,
mechanical-review,JUMPER3,,wire/link,select exact substitute after circuit review,4,4,0,"E1, E2, E3, E4","E1, E2, E3, E4",
mechanical-review,JUMPER4,,wire/link,select exact substitute after circuit review,2,2,0,"E13, E14","E13, E14",
mechanical-review,KBD_CONN,,keyboard connector,select exact substitute after circuit review,1,1,0,X9,X9,
mechanical-review,PAR_CONN,,СНП59-30-23-В / parallel connector,select exact substitute after circuit review,1,1,0,X2,X2,
mechanical-review,POWER_CONN,,СНО51-30/56х9В-23 power connector,select exact substitute after circuit review,1,1,0,X8,X8,
mechanical-review,RF_CONN,,RF connector,select exact substitute after circuit review,1,1,0,X6,X6,
mechanical-review,SERIAL_CONN,,"РШ2Н-1/РГ1Н-1-family serial connector, exact variant pending owner check",select exact substitute after circuit review,1,1,0,X3,X3,
mechanical-review,SW,,switch,select exact substitute after circuit review,2,2,0,"S1, S4","S1, S4",
mechanical-review,SW_DIP6,,DIP switch,select exact substitute after circuit review,1,1,0,S3,S3,
mechanical-review,VIDEO_CONN,,BNC/composite video connector,select exact substitute after circuit review,1,1,0,X7,X7,
program/dump,DEC_PROM,,КР556РТ4А,"74S287/82S129-class 256x4 bipolar PROM, programmed",1,1,0,D6,D6,Contents remain a PROM-truth item: prefer Baltijets disk files or hardware dump before programming.
program/dump,EPROM8K,,2764/M2764-class EPROM in .009 build; К573РФ5 on .006 BOM,"2764 / 27C64 / M2764 EPROM, programmed per ROM split",7,2,5,"D15, D16, D17, D18, D20, D21, D22","D15, D16",Only D15/D16 are populated in the .009 functional build; D17-D22 are expansion/empty sockets.
program/dump,RE3_PROM,,К155РЕ3,"74188/82S23-class 32x8 bipolar PROM, programmed",1,1,0,D8,D8,D8 `.039` content comes from the validated repeated physical table; the former reconstruction is superseded.
program/dump,RE3_PROM_092,,К155РЕ3,"74188/82S23-class 32x8 bipolar PROM, programmed",1,1,0,D94,D94,D94 `.092` content comes from the validated repeated physical table; complete strobe gating remains continuity-gated.
program/dump,WAIT_PROM,,КР556РТ4А,"74S287/82S129-class 256x4 bipolar PROM, programmed",1,1,0,D2,D2,"D2 uses the preservation-grade physical `.037` table from three matching reads, including a power-cycled capture."
source-now,AG3_ONESHOT,,К155АГ3,74LS123/74123-class one-shot; verify RC timing,4,4,0,"D56, D97, D99, D102","D56, D97, D99, D102",
source-now,BUF8286,,КР580ВА86,Intel 8286 / compatible bus transceiver,3,3,0,"D4, D29, D107","D4, D29, D107",
source-now,BUF8287,,КР580ВА87,Intel 8287 / compatible bus transceiver,1,1,0,D100,D100,
source-now,CLK_PHASE,,К155ЛН5,74LS04/74LS14-class inverter; verify phase/timing use,1,1,0,D35,D35,
source-now,CPU8080,,КР580ИК80А,Intel 8080A / compatible 8080 CPU,1,1,0,D1,D1,
source-now,CT16_CTR,,КР531ИЕ17,74F/74S163-class fast counter; verify timing,1,1,0,D40,D40,
source-now,C_ELEC,"47,0","radial electrolytic 47,0",modern radial electrolytic with matching value/voltage/polarity,1,1,0,C1,C1,
source-now,C_ELEC_AXIAL,,C_ELEC_AXIAL,select exact substitute after circuit review,2,2,0,"C17, C18","C17, C18",
source-now,C_KM,15 нФ,КМ ceramic capacitor 15 нФ,modern ceramic capacitor with matching value/voltage/lead spacing,1,1,0,C8,C8,
source-now,C_KM,160,КМ ceramic capacitor 160,modern ceramic capacitor with matching value/voltage/lead spacing,1,1,0,C99,C99,
source-now,C_KM,24,КМ ceramic capacitor 24,modern ceramic capacitor with matching value/voltage/lead spacing,1,1,0,C21,C21,
source-now,C_KM,56,КМ ceramic capacitor 56,modern ceramic capacitor with matching value/voltage/lead spacing,1,1,0,C6,C6,
source-now,C_KM,560,КМ ceramic capacitor 560,modern ceramic capacitor with matching value/voltage/lead spacing,2,2,0,"C5, C7","C5, C7",
source-now,C_TRIM,4/20,trimmer capacitor 4/20,modern trimmer capacitor matching footprint/value,1,1,0,C73,C73,
